,LoanTenure,LoanStatus,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationQuarter,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,EMI,ELA,InterestAmount,TotalAmount,ROI,PROI
383,36,0,0.10913,0.1022,0.0922,0.1615,0.0724,0.0917,4.07224258423391,2,5.950066585742402,0,27,59,1,68.0,1,1,240,700.0,719.0,8330,12.0,10.0,29.0,8,328.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8400.0,0.66,4289.0,22.0,0.9,0.0,0.21,4,1,4500.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,83,12889,4800,9,137.61,5596.45,4800.0,796.45,-77.93,0.0,0.0,0.0,0.0,1.0,0,0,0.0,172,505.7862290948676,22460.0,490.56,5290.56,0.09272364362184721,0.1554054054054054
384,36,1,0.14197,0.1349,0.1249,0.1615,0.0724,0.0917,4.07224258423391,2,5.950066585742402,0,35,64,1,96.0,1,0,219,700.0,719.0,10209,3.0,3.0,16.0,2,83.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,1445.0,0.51,1391.0,15.0,0.73,0.0,0.07,3,1,3541.666667,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,1484,35.0,79,18037,5000,17,169.65,4919.85,3856.92,1062.93,-78.79,-9.0,1143.09,1143.08,124.5,1.0,0,0,0.0,58,525.8239484866737,29282.0,674.5,5674.5,0.11886509824654154,0.20540540540540542
385,12,0,0.31368,0.2343,0.2243,0.2142,0.146,0.0682,2.0,5,8.0,3,36,46,0,38.0,0,0,368,640.0,659.0,8582,6.0,6.0,22.0,4,197.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,5346.0,0.38,4120.0,20.0,0.9,1.0,0.17,5,1,6666.666667,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,22,65512,4000,14,377.14,4528.42,4000.0,528.42,-22.54,0.0,0.0,0.0,0.0,1.0,0,0,0.0,84,1018.6673599824654,15246.0,937.2,4937.2,0.1898241918496314,0.1554054054054054
386,36,0,0.16717,0.16,0.155,0.1615,0.0724,0.0917,4.07224258423391,3,5.950066585742402,0,4,41,2,67.0,1,1,562,640.0,659.0,3977,10.0,9.0,41.0,10,625.0,9.0,24.0,0.0,0.0,2.0,0.0,0.0,8549.0,0.6,4100.0,22.0,0.94,0.0,0.15,6,1,11083.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,85,7256,25000,1,878.93,31627.44,25000.0,6627.44,-207.11,0.0,0.0,0.0,0.0,1.0,0,0,0.0,232,4019.2155885080047,169000.0,4000.0,29000.0,0.13793103448275862,0.1554054054054054
387,36,0,0.09337,0.0865,0.0815,0.1615,0.0724,0.0917,4.07224258423391,2,5.950066585742402,0,4,35,0,67.0,0,0,37,680.0,699.0,580,10.0,9.0,25.0,0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8549.0,0.6,4100.0,22.0,0.94,0.0,0.12624,6,1,3000.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,96,174,3500,0,110.73,3658.03,3500.0,158.03,-9.13,0.0,0.0,0.0,0.0,1.0,0,0,0.0,51,318.8379108570832,14399.0,302.75,3802.75,0.0796134376438104,0.1554054054054054
388,60,0,0.23718,0.2124,0.2024,0.1988,0.0599,0.1389,5.0,2,8.0,18,5,13,0,55.0,0,0,368,680.0,699.0,187,11.0,11.0,17.0,11,522.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,16413.0,0.34,22090.0,17.0,0.88,0.0,0.26,3,1,3000.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,19,72031,9000,22,244.7,4404.6,1784.76,2619.84,-123.35,0.0,0.0,0.0,0.0,1.0,0,0,0.0,124,379.0866546370402,123696.0,1911.6000000000001,10911.6,0.17518970636753547,0.20540540540540542
389,60,0,0.24856,0.2235,0.2135,0.19571,0.1075,0.08821,3.0,4,3.0,1,4,11,0,124.0,0,0,368,660.0,679.0,5820,11.0,11.0,20.0,10,265.0,2.0,3.0,0.0,0.0,22.0,0.0,0.0,6241.0,0.46,5782.0,20.0,0.65,2.0,0.19,3,1,3500.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,2,129026,7000,7,194.73,194.73,61.85,132.88,-5.95,0.0,0.0,0.0,0.0,1.0,0,0,0.0,3,13.823551626893183,100870.0,1564.5,8564.5,0.1826726604004904,0.20540540540540542
390,36,0,0.30532,0.2699,0.2599,0.2534,0.112,0.1414,3.0,4,5.0,7,6,41,7,110.0,1,0,368,740.0,759.0,244,8.0,8.0,21.0,6,1593.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,99234.0,0.78,27526.0,19.0,1.0,1.0,0.22,2,0,12500.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,32,51302,7000,21,285.74,9296.63,7000.0,2296.63,-85.1,0.0,0.0,0.0,0.0,1.0,0,0,0.0,31,1889.647278511505,75015.0,1889.2999999999997,8889.3,0.21253642019056618,0.1054054054054054
391,36,0,0.22742,0.1902,0.1802,0.176,0.065,0.111,4.0,3,5.0,1,16,35,0,61.0,1,0,368,660.0,679.0,2169,7.0,7.0,32.0,3,591.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19005.0,1.0,3.0,15.0,1.0,0.0,0.35,3,1,3631.166667,1.0,7.0,5.0,2.0,0.0,4000.0,0.0,-6.0,163,14.0,22,66729,3000,14,110.0,880.0,525.16,354.84,-18.67,0.0,2474.84,2474.84,0.0,1.0,0,0,0.0,54,100.07510608851823,23542.0,570.6,3570.6,0.15980507477734834,0.3054054054054054
392,60,0,0.14453,0.1219,0.1119,0.1076,0.0349,0.0727,6.0,0,7.0,1,34,35,0,6.0,0,0,368,700.0,719.0,3621,7.0,7.0,26.0,5,218.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8116.0,0.96,334.0,21.0,1.0,0.0,0.16,3,1,3333.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,7,98917,10000,23,223.41,1322.1203,728.91,593.2103,-48.94,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,88.9436378561215,83140.0,1219.0,11219.0,0.10865496033514574,0.20540540540540542
